Column1,Column2,chi
22,2,0.3721938324131638
22,3,0.3851198424065863
22,4,0.40027201818869096
22,5,0.42365494826563854
22,6,0.4432767416867642
22,7,0.4596515747669652
22,8,0.47742011716041655
22,9,0.5145000207261472
22,10,0.5198840822649055
22,11,0.5508189914521875
22,12,0.5762846867320572
22,13,0.6060268845719237
22,14,0.631976246077084
22,15,0.6653094999233626
22,16,0.6975212689766433
22,17,0.7327401685861746
22,18,0.748243063963486
22,19,0.7603550643759645
22,20,0.7714208816782179
22,21,0.7768359952233056
23,0,0.3304464870969716
23,1,0.33691253073021676
23,2,0.35810489404872703
23,3,0.37069726100691364
23,4,0.3857660274011837
23,5,0.40827907232141614
23,6,0.42856507609495476
23,7,0.44512979932544144
23,8,0.4642793165916664
23,9,0.499959768775838
23,10,0.5094661959502206
23,11,0.5381584696751738
23,12,0.5637473251802411
23,13,0.5968476264412367
23,14,0.6261425154823471
23,15,0.660006536969955
23,16,0.6947029555387652
23,17,0.724426695647393
23,18,0.7412528141645666
23,19,0.754117926648096
23,20,0.7668799208565712
23,21,0.7713758545762975
23,22,0.773898200948758
24,0,0.3153533185848297
24,1,0.32141095255263485
24,2,0.3410564472877887
24,3,0.3531299606384343
24,4,0.36786122144833666
24,5,0.3905420634376834
24,6,0.41089030372989416
24,7,0.4266527494656498
24,8,0.44364757819367684
24,9,0.4798924772895129
24,10,0.4855856635952817
24,11,0.5151200727575989
24,12,0.5399013406888424
24,13,0.5705188382528327
24,14,0.5963763805799878
24,15,0.6263000661084451
24,16,0.6629452019296775
24,17,0.6973177715646829
24,18,0.7148948878197247
24,19,0.7286086693492628
24,20,0.7489172582797148
24,21,0.7561880210367495
24,22,0.7693355189897525
24,23,0.7700507903333185
25,0,0.3038994351920015
25,1,0.3092646738202462
25,2,0.3280298530136916
25,3,0.3399303723367868
25,4,0.3528321479863948
25,5,0.3753146651015426
25,6,0.39475453282366696
25,7,0.41236880324575625
25,8,0.4238571222005017
25,9,0.4604859791777198
25,10,0.46471408868841524
25,11,0.4913649083469452
25,12,0.5169510930753004
25,13,0.5430990126505714
25,14,0.5680676274963318
25,15,0.5978699096861133
25,16,0.6345860950454658
25,17,0.6705733609538392
25,18,0.690438786504502
25,19,0.7039287292173065
25,20,0.7309680708461013
25,21,0.7410349949696008
25,22,0.7587780348193335
25,23,0.7590365782564403
25,24,0.7701477582238253
26,0,0.2917947504105739
26,1,0.29566485421127536
26,2,0.31401777003047393
26,3,0.32491797261364125
26,4,0.3380259296116293
26,5,0.3609562535956382
26,6,0.37757473990978113
26,7,0.3926728981904848
26,8,0.4052539083823633
26,9,0.4384049959992907
26,10,0.4408502020036539
26,11,0.46752731254869656
26,12,0.49120181969125853
26,13,0.5171610173185948
26,14,0.53895623168469
26,15,0.5683066920249771
26,16,0.6045658454932349
26,17,0.6415350609747812
26,18,0.6617140040722419
26,19,0.6766606959542398
26,20,0.7064403659312909
26,21,0.71754136882478
26,22,0.7414673028603479
26,23,0.7420304105873528
26,24,0.7612363342185112
26,25,0.7747337017088395
27,0,0.2802475957320766
27,1,0.28135179147057493
27,2,0.29905586277439455
27,3,0.3084519008781517
27,4,0.323623544687121
27,5,0.34323343521717703
27,6,0.361192662722413
27,7,0.37711464970743136
27,8,0.38482589220770047
27,9,0.4170798827009597
27,10,0.42079671301849386
27,11,0.4447864436485965
27,12,0.4677188237113482
27,13,0.49355482378528426
27,14,0.5139329672346262
27,15,0.5410486073513419
27,16,0.5750051108164784
27,17,0.6134035742503943
27,18,0.6323127910446252
27,19,0.6468324621277362
27,20,0.6783645974824347
27,21,0.6896518323954659
27,22,0.718101478492252
27,23,0.7198612838580719
27,24,0.7460780495395986
27,25,0.7645066192010752
27,26,0.7736132853137122
28,0,0.2659577878061278
28,1,0.2684609693155072
28,2,0.2850300662279939
28,3,0.29469169197758666
28,4,0.3082747636707561
28,5,0.32695797534536136
28,6,0.345101250643892
28,7,0.3587565429215439
28,8,0.3706422768964771
28,9,0.3991663859656236
28,10,0.4000912955960777
28,11,0.42706224229400325
28,12,0.4498316214900044
28,13,0.47213155643289634
28,14,0.48991595129878446
28,15,0.5173439201322333
28,16,0.5477565178190265
28,17,0.5858483295454403
28,18,0.6056865330557809
28,19,0.619036708457868
28,20,0.6516708789748457
28,21,0.6635842427552581
28,22,0.6928001392251999
28,23,0.6988818860456671
28,24,0.7246132577511518
28,25,0.7494918253403225
28,26,0.7644705391101743
28,27,0.7754017993357207
29,0,0.283513877720236
29,1,0.2856531448745407
29,2,0.30239299693262517
29,3,0.3120512810690227
29,4,0.32525524362568664
29,5,0.34530004653358565
29,6,0.3612624519082805
29,7,0.3738857681885847
29,8,0.38208261453774495
29,9,0.41094772253223466
29,10,0.4096355728996594
29,11,0.4319299646258343
29,12,0.4550815540206708
29,13,0.47403873816769704
29,14,0.4885748981355908
29,15,0.5092773052672211
29,16,0.5391901723845428
29,17,0.575373513380963
29,18,0.5895948317259445
29,19,0.6049339362556232
29,20,0.6338408656253537
29,21,0.6460524025491434
29,22,0.6809135123646498
29,23,0.6808096764902797
29,24,0.7093038669804694
29,25,0.734985853686357
29,26,0.7533992466766123
29,27,0.769093574873028
29,28,0.7766440243263678
30,0,0.27714089961985755
30,1,0.2777464204317704
30,2,0.2947540798465357
30,3,0.3048702184787083
30,4,0.3174218240108758
30,5,0.336874619456787
30,6,0.3525782627267418
30,7,0.3665363216776421
30,8,0.3749763326462011
30,9,0.40187149798322286
30,10,0.40144378774067496
30,11,0.4249502952953456
30,12,0.44827821578067056
30,13,0.4663442200148171
30,14,0.47880089628867767
30,15,0.4972370374471859
30,16,0.5227804665588134
30,17,0.5589228952203628
30,18,0.5734673752252316
30,19,0.5866029555198069
30,20,0.6153882791502625
30,21,0.6319125986672326
30,22,0.6641450263528821
30,23,0.665972950449534
30,24,0.6974781753130911
30,25,0.7229188186533535
30,26,0.7432712115784917
30,27,0.7604457911183752
30,28,0.7756059565373746
30,29,0.7929676715421216
31,0,0.26817134990634534
31,1,0.27069640369641246
31,2,0.2857401007554934
31,3,0.29506927464125965
31,4,0.30868714564654
31,5,0.3304198862748382
31,6,0.34462753649418904
31,7,0.35680634490850077
31,8,0.3647146254156987
31,9,0.39337231899456576
31,10,0.3920670076998185
31,11,0.4157884614355001
31,12,0.43719532128725375
31,13,0.45708764337256635
31,14,0.46837955606287895
31,15,0.4865634574785729
31,16,0.5120657114072126
31,17,0.54554046398988
31,18,0.5605863603462526
31,19,0.573730984606033
31,20,0.6047406453751049
31,21,0.6182748405735734
31,22,0.6486524693201987
31,23,0.6536317550070779
31,24,0.6862654497033105
31,25,0.71326803578663
31,26,0.737090428569813
31,27,0.7548022806387913
31,28,0.7710787869040773
31,29,0.7838552992736962
31,30,0.7905478395195832
32,0,0.26715211795006416
32,1,0.2684826854202018
32,2,0.2841523951788002
32,3,0.292004534346207
32,4,0.30609451172883184
32,5,0.3251445632056588
32,6,0.3397429993440747
32,7,0.35379454850630465
32,8,0.36004474338824904
32,9,0.38788367824520265
32,10,0.38619961979745826
32,11,0.40898385289642947
32,12,0.4317114599530177
32,13,0.448153847954752
32,14,0.46010343240698426
32,15,0.47742936689382526
32,16,0.5014866739736891
32,17,0.5360487927556724
32,18,0.5499018497298651
32,19,0.5647439048020321
32,20,0.5936358467822626
32,21,0.6082395212944459
32,22,0.6399323969802808
